PaperID;VideoID
323;38982809
228;38982810
221;38982811
209;38982812
139;38982813
240;38982814
65;38982815
53;38982816
233;38982817
264;38982818
282;38982819
303;38982820
145;38982821
97;38982822
106;38982823
140;38982824
162;38982825
314;38982826
151;38982827
158;38982828
175;38982829
308;38982830
49;38982831
328;38982832
1;38982833
38;38982834
44;38982835
195;38982836
125;38982837
79;38982838
7;38982839
208;38982840
110;38982841
127;38982842
201;38982843
102;38982844
187;38982845
192;38982846
278;38982847
15;38982848
55;38982849
184;38982850
62;38982851
10;38982852
257;38982853
128;38982854
119;38982855
64;38982856
200;38982857
33;38982858
225;38982859
78;38982860
164;38982861
54;38982862
77;38982863
113;38982864
202;38982865
229;38982866
324;38982867
196;38982868
17;38982869
321;38982870
2;38982871
180;38982872
262;38982873
131;38982874
66;38982875
116;38982876
136;38982877
222;38982878
232;38982879
96;38982880
347;38982881
153;38982882
148;38982883
36;38982884
170;38982885
212;38982886
56;38982887
93;38982888
35;38982889
130;38982890
304;38982891
154;38982892
368;38982893
365;38982894
367;38982895
353;38982896
351;38982897
371;38982898
366;38982899
372;38982900
369;38982901
373;38982902
255;38982903
